Date,Course,Off,Name,Type,Class,Pattern,Rating_Band,Age_Band,Sex_Rest,Dist,Dist_Y,Dist_M,Dist_F,Going,Num,Pos,Ran,Draw,Btn,Ovr_Btn,Horse,SP,Dec,Age,Sex,Wgt,Lbs,HG,Time,Jockey,Trainer,OR,RPR,TS,Prize,Sire,Dam,Damsire,Owner,Comment
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,8,1,9,3,0,0,Doctor Geoff (IRE),33/10,4.30,6,G,8-3,115,,1:48.10,C Y Ho,K W Lui,101,110,,179158.61,Fast Company (IRE),More Respect (IRE),Spectrum,Huang Kai Wen,Chased leader - ridden to lead 1 1/2f out - edged left inside final furlong - soon driven and kept on strongly
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,6,2,9,9,1.5,1.5,Harmony Victory (BRZ),4/1,5.00,5,G,8-3,115,t,1:48.35,Grant Van Niekerk,C S Shum,102,107,,69148.94,Public Purse (USA),Flower Fest (BRZ),Crimson Tide,Yue Yun Hing,Held up in rear - ridden 2f out - wide into straight - stayed on strongly from over 1f out - took 2nd close home - not reach winner
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,5,3,9,4,0.3,1.75,Sacred Capital (NZ),13/5F,3.60,5,G,8-6,118,,1:48.39,Joao Moreira,J Lau,111,109,,36146.03,OReilly (NZ),Honolulu (NZ),Savabeel,Chen Ching Lung Dato K S Yap,Towards rear of midfield - ridden 1 1/2f out - stayed on final furlong
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,2,4,9,5,.75,2.5,Time Warp (GB),73/10,8.30,7,G,8-13,125,t,1:48.52,Karis Teetan,A S Cruz,118,115,,18858.80,Archipenko (USA),Here To Eternity (USA),Stormy Atlantic,Martin Siu Kim Sun,Led - ridden under 2f out - headed 1 1/2f out - no extra final 100yds
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,7,5,9,7,0.1,2.75,Insayshable (IRE),30/1,31.00,6,G,8-1,113,,1:48.57,Matthew Chadwick,Y S Tsui,102,102,,11000.97,Rajj (IRE),Imitation (GB),Darshaan,The Hon Mrs Kenneth Lau Ip Keung,Towards rear of midfield - forward move to track leaders 4f out - ridden 2f out - driven and kept on same pace final furlong
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,4,6,9,6,.75,3.5,Simply Brilliant (GB),16/1,17.00,6,G,8-8,120,,1:48.68,Alexis Badel,F C Lor,113,108,,,Frankel (GB),Red Bloom (GB),Selkirk,Simply Brilliant Syndicate,Midfield - ridden and outpaced under 2f out - soon no impression
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,3,7,9,2,0.3,3.75,Eagle Way (AUS),15/1,16.00,7,G,8-8,120,tb,1:48.72,Silvestre De Sousa,John Moore,113,107,,,More Than Ready (USA),Wedgetail Eagle (AUS),Lure,Siu Pak Kwan,Towards rear - ridden 1 1/2f out - kept on final 50yds - never dangerous
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,1,8,9,1,0.1,3.75,Southern Legend (AUS),19/5,4.80,7,G,9-7,133,v,1:48.74,Zac Purton,C Fownes,126,120,,,Not A Single Doubt (AUS),Donnas Appeal (AUS),Carnegie,Boniface Ho Ka Kui,Tracked leaders - ridden 2f out - weakened steadily final furlong
2020-01-08,Happy-Valley,1:15,The January Cup ( Handicap) (3yo+) (Course C) (Turf),Flat,Class 1,Group 3,,3yo+,,1m1f,1981,1811,9f,Good,9,9,9,8,0.3,4,Not Usual Talent (NZ),30/1,31.00,5,G,8-1,113,,1:48.77,M L Yeung,T P Yung,95,99,,,Zacinto (GB),Compact Pussycat (NZ),Al Akbar,Chen Hong Wei,Towards rear - ridden and some headway on outside 2f out - weakened final 75yds
2020-02-26,Happy-Valley,1:45,Blue Pool Handicap (3yo+) (Course A) (Turf),Flat,Class 1,,,3yo+,,6f,1320,1207,6f,Good,8,1,10,2,0,0,Waldorf (NZ),11/1,12.00,5,G,8-3,115,tb,1:9.24,Karis Teetan,A S Cruz,88,96,,154352.03,Highly Recommended (AUS),Skite (NZ),Pins,Peter Young Wai Po,Held up towards rear of midfield - ridden 2f out - very wide into straight - stayed on strongly final furlong - led close home - driven out
2020-02-26,Happy-Valley,1:45,Blue Pool Handicap (3yo+) (Course A) (Turf),Flat,Class 1,,,3yo+,,6f,1320,1207,6f,Good,1,2,10,4,0.3,0.3,Fat Turtle (AUS),23/5,5.60,5,G,9-7,133,b,1:9.29,C Y Ho,F C Lor,106,113,,59574.47,Smart Missile (AUS),Pilya (USA),Gulch,Ho Koon Wah Tsui Yuk Wah Dominic Ho Tsz Kin,In touch - ridden 2f out - stayed on final furlong - led 50yds out - headed close home
2020-02-26,Happy-Valley,1:45,Blue Pool Handicap (3yo+) (Course A) (Turf),Flat,Class 1,,,3yo+,,6f,1320,1207,6f,Good,9,3,10,5,.5,.75,Hong Kong Bet (AUS),34/1,35.00,4,G,8-2,114,t,1:9.36,K C Leung,A S Cruz,87,92,,31141.20,Smart Missile (AUS),Dublin Me Bet (NZ),OReilly,Wilson Ho Bruce Lee Sing Keung,Tracked leaders - ridden over 1f out - led narrowly 150yds out - headed 50yds out - kept on well
2020-02-26,Happy-Valley,1:45,Blue Pool Handicap (3yo+) (Course A) (Turf),Flat,Class 1,,,3yo+,,6f,1320,1207,6f,Good,2,4,10,9,0.3,1,Country Star (AUS),15/1,16.00,4,G,9-2,128,,1:9.41,Alexis Badel,J Size,101,105,,16247.58,Starcraft (NZ),Moonrush (AUS),Encosta De Lago,Hk Country Club Racing Syndicate,Towards rear of midfield - forward move to track leaders 2 1/2f out - ridden 1 1/2f out - every chance inside final furlong - kept on
2020-02-26,Happy-Valley,1:45,Blue Pool Handicap (3yo+) (Course A) (Turf),Flat,Class 1,,,3yo+,,6f,1320,1207,6f,Good,5,5,10,7,0.1,1.25,Gunnison (AUS),13/1,14.00,5,G,8-6,118,,1:9.46,Matthew Poon,J Size,93,97,,9477.76,Not A Single Doubt (AUS),Colorado Claire (AUS),Hussonet,Frank Feng Ching Yeng,Raced keenly - in touch until pressed leader after 2f - led over 3f out - ridden and headed 1 1/f out - remained prominent and kept on well
2020-02-26,Happy-Valley,1:45,Blue Pool Handicap (3yo+) (Course A) (Turf),Flat,Class 1,,,3yo+,,6f,1320,1207,6f,Good,6,6,10,10,1,2.25,Tornado Twist (AUS),14/1,15.00,4,G,8-6,118,t,1:9.61,Chad Schofield,J Size,91,92,,,Denman (AUS),More Glory (AUS),More Than Ready,Fok Yuk Tong,Dwelt - slowly into stride - towards rear - steady headway from 2f out - ridden over 1f out - stayed on inside final furlong - not clear run final 50yds
